Country,Facebook Users,Population in Thousands (2021),Percentage of Facebook Users
India,416600000,1428628,29.16
United States,240000000,339997,70.59
Indonesia,176500000,277534,63.60
Brazil,139000000,216422,64.23
Philippines,91000000,117337,77.55
Mexico,78000000,128456,60.72
Vietnam,75940000,98859,76.82
Thailand,58500000,71801,81.47
Japan,55840000,123295,45.29
Pakistan,49200000,240486,20.46
Egypt,48830000,112717,43.32
Bangladesh,48800000,172954,28.22
Turkey,44000000,85816,51.27
United Kingdom,44000000,67737,64.96
Iran,40000000,89173,44.86
France,38540000,64757,59.52
Germany,37430000,83295,44.94
Italy,34940000,58871,59.35
Nigeria,31860000,223805,14.24
Argentina,30000000,45774,65.54
Colombia,29000000,52085,55.68
Malaysia,28490000,34309,83.04
Spain,28450000,47520,59.87
Saudi Arabia,26280000,36947,71.13
South Korea,25750000,51784,49.73
Iraq,25520000,45505,56.08
Algeria,25140000,45606,55.12
South Africa,24600000,60414,40.72
Canada,23000000,38781,59.31
Morocco,21730000,37840,57.43
Taiwan,20610000,23923,86.15
Myanmar,20550000,54578,37.65
Peru,20000000,34353,58.22
Poland,18610000,41026,45.36
Australia,17680000,26439,66.87
Russia,13100000,144444,9.07
Nepal,13040000,30897,42.21
Venezuela,13000000,28838,45.08
Chile,13000000,19630,66.23
Cambodia,12444000,16945,73.44
Kazakhstan,11825000,19607,60.31
Netherlands,11090000,17618,62.95
Romania,10860000,19893,54.59
Kenya,10444000,55101,18.95
United Arab Emirates,10316000,9517,108.40
Ecuador,10000000,18190,54.97
Ukraine,9500000,36745,25.85
Sweden,8581261,10612,80.86
Syria,8500000,23227,36.60
Tunisia,8170000,12458,65.58
Sri Lanka,7968000,21894,36.39
Ghana,7944000,34122,23.28
Portugal,6876000,10248,67.10
Guatemala,6800000,18092,37.59
Ethiopia,6745000,126527,5.33
Belgium,6500000,11686,55.62
Jordan,6386000,11337,56.33
Israel,6200000,9175,67.58
Hong Kong,6165000,7492,82.29
Bolivia,6100000,12389,49.24
Hungary,6084000,10156,59.90
