Origin,2021,2022,2021,2022
Antigua and Barbuda,1,,1,
Argentina,1,,1,
Australia,4,6,38,7
Austria,80,66,284,297
Belarus,1,1,4,2
Belgium,77,112,196,262
Bosnia and Herzegovina,6,1,21,1
Brazil,,1,,1
Bulgaria,14,12,55,34
Burkina Faso,1,,1,
Cameroon,3,,3,
Canada,75,71,203,131
Chile,,2,,2
China,258,1287,621,2558
Croatia,22,32,99,61
Cyprus,21,11,182,117
Czech Republic,13,22,114,142
Denmark,142,155,336,447
Egypt,,1,,1
Estonia,20,12,32,23
Finland,35,36,51,109
France,619,649,1585,1484
Georgia,,2,,7
Germany,874,869,4400,4908
Greece,8,10,148,419
Hungary,7,11,16,24
Iceland,1,,1,
India,3,,3,
Iran (Islamic Republic of),,1,,1
Ireland,17,11,38,36
Israel,74,74,163,177
Italy,462,574,2046,2403
Japan,421,436,913,935
Latin America and the Caribbean,10,10,10,17
Latvia,14,8,15,12
Liechtenstein,20,8,66,37
Lithuania,7,9,9,17
Luxembourg,27,27,100,81
Malaysia,,2,,5
Malta,10,9,298,140
Mexico,7,3,7,3
Monaco,3,2,3,2
Mongolia,,1,,1
Morocco,2,1,3,18
Netherlands,230,223,1222,975
Nicaragua,,1,,2
Nigeria,,1,,1
North America,777,824,2852,2585
North Macedonia,3,2,3,8
Norway,73,52,141,141
Oceania,4,6,38,7
Oman,2,3,2,5
Panama,,3,,9
Poland,50,61,260,323
Portugal,22,43,70,69
Republic of Korea,849,817,1419,1346
Republic of Moldova,1,3,1,14
Romania,3,3,3,10
Russian Federation,105,52,148,100
San Marino,,3,,3
Serbia,14,8,26,10
Seychelles,,2,,68
Singapore,60,31,295,57
Slovakia,4,6,8,14
Slovenia,27,27,45,61
South Africa,,4,,4
Spain,114,96,356,277
Sweden,137,140,408,408
Switzerland,548,652,1824,2188
Total,6714,7976,22504,25079
Türkiye,147,155,594,505
Ukraine,53,31,101,39
United Arab Emirates,3,,5,
United Kingdom,210,234,858,1033
United States of America,702,753,2649,2454
Unknown,,24,,32
Venezuela (Bolivarian Republic of),1,,1,
Viet Nam,6,11,9,18
