Country,Region,Year,Generation,Overall Score
Afghanistan,South Asia,2022,G2,68.3
Albania,Europe,2022,G4,88
Algeria,Arab States,2022,G2,68.5
Andorra,Europe,2022,G1,28
Angola,Africa,2022,G3,75.7
Antigua and Barbuda,Latin America & Caribbean,2022,G1,36.8
Argentina,Latin America & Caribbean,2022,G3,84.5
Armenia,CIS,2022,G4,87.5
Australia,East Asia and Pacific,2022,G4,94.5
Austria,Europe,2022,G4,89.5
Azerbaijan,CIS,2022,G2,64.5
Bahamas,Latin America & Caribbean,2022,G4,85.8
Bahrain,Arab States,2022,G4,85.5
Bangladesh,East Asia and Pacific,2022,G2,64.5
Barbados,Latin America & Caribbean,2022,G2,67.5
Belarus,CIS,2022,G2,42.5
Belgium,Europe,2022,G4,93
Belize,Latin America & Caribbean,2022,G2,51.7
Benin,Africa,2022,G2,69
Bhutan,South Asia,2022,G2,62.7
Bolivia (Plurinational State of),Latin America & Caribbean,2022,G2,68.5
Bosnia and Herzegovina,Europe,2022,G4,90
Botswana,Africa,2022,G3,77
Brazil,Latin America & Caribbean,2022,G4,94
Brunei Darussalam,South Asia,2022,G3,71.5
Bulgaria,Europe,2022,G4,94
Burkina Faso,Africa,2022,G4,86
Burundi,Africa,2022,G2,60.7
Cabo Verde,Africa,2022,G3,78.7
Cambodia,East Asia and Pacific,2022,G2,68
Cameroon,Africa,2022,G3,72
Canada,North America,2022,G4,87.5
Central African Rep.,Africa,2022,G2,56.5
Chad,Africa,2022,G2,58.7
Chile,Latin America & Caribbean,2022,G4,89
China,East Asia and Pacific,2022,G2,63
Colombia,Latin America & Caribbean,2022,G4,86
Comoros,Arab States,2022,G3,79.7
Congo (Rep. of the),Africa,2022,G3,70.7
Costa Rica,Latin America & Caribbean,2022,G4,91
Côte d'Ivoire,Africa,2022,G3,74
Croatia,Europe,2022,G4,94
Cuba,Latin America & Caribbean,2022,G1,30
Cyprus,Europe,2022,G4,86.7
Czech Republic,Europe,2022,G4,88
Dem. Rep. of the Congo,Africa,2022,G3,72
Denmark,Europe,2022,G4,95
Djibouti,Arab States,2022,G1,4.5
Dominica,Latin America & Caribbean,2022,G2,69.5
Dominican Rep.,Latin America & Caribbean,2022,G4,97
Ecuador,Latin America & Caribbean,2022,G3,79
Egypt,Arab States,2022,G4,85.5
El Salvador,Latin America & Caribbean,2022,G3,70.5
Equatorial Guinea,Africa,2022,G2,50
Eritrea,Africa,2022,G1,16
Estonia,Europe,2022,G4,90.5
Eswatini,Africa,2022,G2,66.7
Ethiopia,Africa,2022,G1,33
Fiji,East Asia and Pacific,2022,G2,62
Finland,Europe,2022,G4,97
France,Europe,2022,G4,95.5
