Rank,Country,Total Score(2021)
1,United States,69.1513
2,United Kingdom,38.7072
3,Israel,19.405
4,Singapore,15.8284
5,Switzerland,14.9513
6,Australia,13.7292
7,Sweden,13.1409
8,The Netherlands,11.8726
9,Germany,11.1183
10,Lithuania,11.1071
11,Estonia,10.4462
12,Canada,10.2642
13,Finland,8.3042
14,Brazil,8.1635
15,China,8.0719
16,Spain,7.67
17,Uruguay,6.5785
18,Ireland,6.3565
19,Russia,6.1321
20,Denmark,6.0787
21,Japan,6.0547
22,France,5.9266
23,India,5.8972
24,Norway,5.6358
25,Luxembourg,5.3288
26,South Korea,5.2833
27,Austria,5.2474
28,United Arab Emirates,5.0822
29,Belgium,4.6149
30,New Zealand,4.5163
31,Kenya,4.4753
32,Mexico,4.4369
33,Latvia,4.4107
34,Portugal,4.3266
35,Taiwan,4.187
36,Poland,4.1687
37,Italy,4.1538
38,Cyprus,4.1064
39,Bulgaria,3.6482
40,Turkey,3.6397
41,Czechia,3.5789
42,Malta,3.385
43,Indonesia,3.1308
44,South Africa,3.1264
45,Colombia,3.0666
46,Malaysia,3.0442
47,Chile,2.9256
48,Ukraine,2.8255
49,Argentina,2.6924
50,Slovenia,2.5344
51,Hungary,2.5335
52,Liechtenstein,2.2641
53,Philippines,2.2195
54,Romania,2.0103
55,Thailand,1.7197
56,Croatia,1.6981
57,Nigeria,1.46
58,Greece,1.415
59,Seychelles,1.2581
60,Slovakia,1.2353
61,Rwanda,1.065
62,Peru,1.007
63,Georgia,0.981
64,Uganda,0.8849
65,Saudi Arabia,0.867
66,Kazakhstan,0.8575
67,Belize,0.8439
68,Tunisia,0.8136
69,Ecuador,0.7657
70,Vietnam,0.6931
71,Ghana,0.6766
72,Egypt,0.6688
73,Lebanon,0.5894
74,Belarus,0.5503
75,Jordan,0.5398
76,Zimbabwe,0.3645
77,Pakistan,0.3242
78,Bangladesh,0.2549
79,Somalia,0.2426
80,Cameroon,0.229
81,Iran,0.1752
82,Venezuela,0.173
83,Ethiopia,0.1158
