Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,0000,"World",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.04401,
2000,0000,"World",0000,"World",02,"Exports",ICT00,"Total ICT goods",15.99285,
2000,0000,"World",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",28.51537,
2000,0000,"World",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",27.91224,
2000,008,"Albania",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.33276,
2000,008,"Albania",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.39067,
2000,012,"Algeria",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.29957,
2000,012,"Algeria",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.00649,
2000,020,"Andorra",0000,"World",01,"Imports",ICT00,"Total ICT goods",8.81431,
2000,020,"Andorra",0000,"World",02,"Exports",ICT00,"Total ICT goods",8.0681,
2000,028,"Antigua and Barbuda",0000,"World",01,"Imports",ICT00,"Total ICT goods",9.53298,
2000,028,"Antigua and Barbuda",0000,"World",02,"Exports",ICT00,"Total ICT goods",39.06442,
2000,028,"Antigua and Barbuda",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",45.11872,
2000,031,"Azerbaijan",0000,"World",01,"Imports",ICT00,"Total ICT goods",8.16045,
2000,031,"Azerbaijan",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.13639,
2000,032,"Argentina",0000,"World",01,"Imports",ICT00,"Total ICT goods",13.8058,
2000,032,"Argentina",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.36296,
2000,036,"Australia",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.06608,
2000,036,"Australia",0000,"World",02,"Exports",ICT00,"Total ICT goods",2.85219,
2000,036,"Australia",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",5.35596,
2000,040,"Austria",0000,"World",01,"Imports",ICT00,"Total ICT goods",9.22115,
2000,040,"Austria",0000,"World",02,"Exports",ICT00,"Total ICT goods",6.15633,
2000,044,"Bahamas",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.34165,
2000,044,"Bahamas",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.41265,
2000,044,"Bahamas",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.73709,
2000,048,"Bahrain",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.42176,
2000,048,"Bahrain",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.03349,
2000,048,"Bahrain",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.53905,
2000,050,"Bangladesh",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.66961,
2000,050,"Bangladesh",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.0709,
2000,051,"Armenia",0000,"World",01,"Imports",ICT00,"Total ICT goods",7.04572,
2000,051,"Armenia",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.36442,
2000,051,"Armenia",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.02283,
2000,052,"Barbados",0000,"World",01,"Imports",ICT00,"Total ICT goods",8.1628,
2000,052,"Barbados",0000,"World",02,"Exports",ICT00,"Total ICT goods",2.24223,
2000,052,"Barbados",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.57377,
2000,056,"Belgium",0000,"World",01,"Imports",ICT00,"Total ICT goods",7.22561,
2000,056,"Belgium",0000,"World",02,"Exports",ICT00,"Total ICT goods",6.12983,
2000,068,"Bolivia (Plurinational State of)",0000,"World",01,"Imports",ICT00,"Total ICT goods",6.99042,
2000,068,"Bolivia (Plurinational State of)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.18593,
2000,072,"Botswana",0000,"World",01,"Imports",ICT00,"Total ICT goods",5.36507,
2000,072,"Botswana",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.6819,
2000,076,"Brazil",0000,"World",01,"Imports",ICT00,"Total ICT goods",13.10836,
2000,076,"Brazil",0000,"World",02,"Exports",ICT00,"Total ICT goods",4.05456,
2000,076,"Brazil",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",0.10879,
