Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,0000,"World",0000,"World",02,"Exports",SICT,"ICT services",166711.842,,,,100,,6.20363,
2005,008,"Albania",0000,"World",01,"Imports",SICT,"ICT services",16.953,,,,,,1.22595,
2005,008,"Albania",0000,"World",02,"Exports",SICT,"ICT services",73.406,,,,0.044031,,5.79526,
2005,012,"Algeria",0000,"World",01,"Imports",SICT,"ICT services",154,,,,,,3.19303,
2005,012,"Algeria",0000,"World",02,"Exports",SICT,"ICT services",94,,,,0.056385,,3.7495,
2005,024,"Angola",0000,"World",01,"Imports",SICT,"ICT services",41.132,,,,,,0.60568,
2005,024,"Angola",0000,"World",02,"Exports",SICT,"ICT services",14.039,,,,0.008421,,7.93949,
2005,032,"Argentina",0000,"World",01,"Imports",SICT,"ICT services",429.33,,,,,,5.72677,
2005,032,"Argentina",0000,"World",02,"Exports",SICT,"ICT services",405.16,,,,0.24303,,6.27371,
2005,036,"Australia",0000,"World",01,"Imports",SICT,"ICT services",1199,,,,,,3.62709,
2005,036,"Australia",0000,"World",02,"Exports",SICT,"ICT services",1245.5,,,,0.747097,,3.86481,
2005,044,"Bahamas",0000,"World",01,"Imports",SICT,"ICT services",1,"Estimated",,,,,0.07774,"Estimated"
2005,050,"Bangladesh",0000,"World",01,"Imports",SICT,"ICT services",22.186,,,,,,0.93829,
2005,050,"Bangladesh",0000,"World",02,"Exports",SICT,"ICT services",37.794,,,,0.02267,,2.52477,
2005,051,"Armenia",0000,"World",01,"Imports",SICT,"ICT services",14.452,,,,,,2.50009,
2005,051,"Armenia",0000,"World",02,"Exports",SICT,"ICT services",49.259,,,,0.029548,,11.45168,
2005,052,"Barbados",0000,"World",01,"Imports",SICT,"ICT services",29.878,,,,,,5.72126,
2005,052,"Barbados",0000,"World",02,"Exports",SICT,"ICT services",54.691,,,,0.032806,,4.35951,
2005,056,"Belgium",0000,"World",01,"Imports",SICT,"ICT services",2853.488,"Estimated",,,,,5.27328,"Estimated"
