Rank,Country,National Cyber Security Index,Difference
1.,Belgium,94.81,20.74
2.,Lithuania,93.51,26.17
3.,Estonia,93.51,17.92
4.,Czech Republic,92.21,23
5.,Germany,90.91,10.9
6.,Romania,89.61,29.77
7.,Greece,89.61,25.59
8.,Portugal,89.61,21.15
9.,United Kingdom,89.61,9.65
10.,Spain,88.31,16.1
11.,Poland,87.01,21.98
12.,Austria,85.71,9.95
13.,Finland,85.71,7.36
14.,Saudi Arabia,84.42,20.53
15.,France,84.42,7.13
16.,Sweden,84.42,2.91
17.,Denmark,84.42,1.74
18.,Croatia,83.12,18.49
19.,Slovakia,83.12,17.68
20.,Netherlands,83.12,1.26
21.,Serbia,80.52,20.71
22.,Malaysia,79.22,17.03
23.,Italy,79.22,11.96
24.,Ukraine,75.32,19.36
25.,Latvia,75.32,9.09
26.,Ireland,75.32,0.14
27.,Switzerland,75.32,-7.61
28.,Bulgaria,74.03,11.97
29.,Dominican Republic,71.43,26.22
30.,Russian Federation,71.43,6.31
31.,Singapore,71.43,-8.5
32.,Morocco,70.13,23.25
33.,Canada,70.13,-5.83
34.,Korea (Republic of),68.83,-13.4
35.,Bangladesh,67.53,34.42
36.,Hungary,67.53,3.28
37.,Israel,67.53,-7.97
38.,Norway,67.53,-12.66
39.,Cyprus,66.23,-2.6
40.,Australia,66.23,-11.38
41.,Luxembourg,66.23,-12.17
42.,Georgia,64.94,11.44
43.,Thailand,64.94,8.31
44.,United States,64.94,-16.11
45.,Paraguay,63.64,21.06
46.,Philippines,63.64,17.65
47.,Indonesia,63.64,16.23
48.,Argentina,63.64,3.21
49.,Japan,63.64,-15.05
50.,Peru,62.34,14.11
51.,Albania,62.34,13.6
52.,Azerbaijan,61.04,6.26
53.,India,59.74,19.72
54.,Chile,59.74,-1.7
55.,Uruguay,59.74,-4.12
56.,Slovenia,59.74,-10
57.,Benin,58.44,32.61
58.,North Macedonia,58.44,3.08
59.,Qatar,58.44,-6.55
60.,Egypt,57.14,10.21
61.,Moldova (Republic of),57.14,0.35
62.,Bahrain,57.14,-8.03
63.,Zambia,55.84,26.18
64.,Iceland,55.84,-22.8
65.,Nigeria,54.55,22.79
66.,Türkiye,54.55,-3.74
67.,Ecuador,53.25,7.68
68.,Tunisia,53.25,6.99
69.,Colombia,53.25,1.17
70.,Belarus,53.25,-9.08
