Origin,2021,2022
Albania,,2
Albania,,2
Algeria,4,17
Algeria,4,17
Armenia,1,
Armenia,1,
Australia,1,
Australia,1573,1579
Australia,4,
Australia,2,
Australia,5,
Australia,1,
Australia,2,
Australia,6,2
Australia,2,5
Australia,1,3
Australia,,1
Australia,6,4
Australia,,1
Australia,9,6
Australia,1612,1601
Austria,508,454
Austria,1,
Austria,1,
Austria,,1
Austria,1,
Austria,5,3
Austria,516,458
Azerbaijan,5,5
Azerbaijan,5,5
Belarus,13,9
Belarus,6,1
Belarus,1,
Belarus,20,10
Bosnia and Herzegovina,10,4
Bosnia and Herzegovina,10,4
Brazil,2,
Brazil,561,514
Brazil,,1
Brazil,2,10
Brazil,,1
Brazil,1,
Brazil,11,10
Brazil,,1
Brazil,2,
Brazil,2,1
Brazil,1,
Brazil,1,
Brazil,1,
Brazil,3,1
Brazil,,1
Brazil,587,540
Bulgaria,34,21
Bulgaria,34,21
Canada,5,
Canada,,2
Canada,,1
Canada,1,
Canada,3,2
Canada,2,
Canada,1953,1900
Canada,1,1
Canada,6,6
Canada,1,1
Canada,4,
Canada,1,6
Canada,,1
Canada,1,
Canada,1,
Canada,,4
Canada,1,
Canada,,2
Canada,,1
Canada,1,
Canada,3,8
Canada,1,
Canada,10,18
Canada,1995,1953
Chile,4,
Chile,2,
Chile,129,147
Chile,,1
Chile,,1
Chile,1,
Chile,,1
Chile,136,150
China,19,15
China,15,4
China,4,2
China,1,1
China,27,27
China,12,17
China,185,167
China,,1
China,68430,69087
China,385,411
China,33,42
China,4,
China,27,21
China,93,99
China,125,160
China,22,14
China,9,12
China,1,1
China,3,1
China,474,514
China,13,
China,7,11
China,1,1
China,143,156
China,1,3
China,1,2
China,2,
China,2,22
China,470,482
China,202,156
China,2741,2984
China,73452,74413
Colombia,12,15
Colombia,12,15
Costa Rica,2,
Costa Rica,2,
Croatia,14,10
Croatia,14,10
Cuba,15,12
Cuba,15,12
Cyprus,1,
Cyprus,1,2
Cyprus,2,2
Czech Republic,,1
Czech Republic,219,186
Czech Republic,1,
Czech Republic,220,187
Democratic People's Republic of Korea,1,3
Democratic People's Republic of Korea,1,3
Denmark,1,
Denmark,1,
Denmark,383,312
Denmark,1,
Denmark,1,
Denmark,3,4
Denmark,390,316
Dominican Republic,,3
Dominican Republic,,3
Ecuador,,1
Ecuador,4,
Ecuador,4,1
Egypt,48,46
Egypt,,1
Egypt,48,47
Estonia,2,1
Estonia,2,1
Eurasian Patent Organization,,1
Eurasian Patent Organization,4,3
Eurasian Patent Organization,,1
Eurasian Patent Organization,1,1
Eurasian Patent Organization,7,6
Eurasian Patent Organization,12,12
European Patent Office,19,12
European Patent Office,1,1
European Patent Office,9,5
European Patent Office,,2
European Patent Office,4,4
European Patent Office,1010,922
European Patent Office,9,2
European Patent Office,11,35
European Patent Office,1156,1105
European Patent Office,5,3
European Patent Office,2,3
European Patent Office,,1
European Patent Office,10,9
European Patent Office,3942,3905
European Patent Office,493,422
European Patent Office,,2
European Patent Office,26,25
European Patent Office,24,29
European Patent Office,14873,15201
European Patent Office,1056,1039
European Patent Office,,1
European Patent Office,,1
European Patent Office,26,16
European Patent Office,1,
European Patent Office,529,533
European Patent Office,732,656
European Patent Office,4269,4640
European Patent Office,1820,1708
European Patent Office,1,
European Patent Office,30,70
European Patent Office,1,
European Patent Office,21,6
European Patent Office,3,8
European Patent Office,573,555
European Patent Office,2,2
European Patent Office,1,2
European Patent Office,,2
European Patent Office,4,9
European Patent Office,691,627
European Patent Office,283,309
European Patent Office,46,17
European Patent Office,,1
European Patent Office,2,
European Patent Office,268,193
European Patent Office,7,18
